query	read_type	read_len	align_len	unalign_len	matches	mismatches	insertions	deletions	tot_errors
channel_132_read_22	22	9589	9679	71	7531	1404	654	744	2802
channel_132_read_25	25	8042	7846	26	5969	1291	782	586	2659
channel_132_read_27	27	12773	12415	104	9941	1782	1050	692	3524
channel_132_read_26	26	6080	6367	50	4998	769	313	600	1682
channel_132_read_29	29	2872	2904	15	2365	328	179	211	718
channel_149_read_26	26	13155	13182	53	10266	1834	1055	1082	3971
channel_149_read_22	22	14021	14819	44	11085	2178	758	1556	4492
channel_365_read_5	5	6645	6770	20	5268	965	412	537	1914
channel_27_read_31	31	5126	4787	27	3241	1184	701	362	2247
channel_387_read_130	130	1144	1165	73	934	134	76	97	307
channel_435_read_1	1	9427	9432	43	7988	901	538	543	1982
channel_397_read_68	68	8624	8159	30	7050	820	754	289	1863
channel_406_read_99	99	6309	6118	70	4949	804	556	365	1725
channel_483_read_83	83	14424	14449	16	11187	2141	1096	1121	4358
channel_67_read_58	58	6896	7197	89	5234	1207	455	756	2418
channel_67_read_59	59	15461	15409	29	12362	1983	1116	1064	4163
channel_499_read_42	42	4233	4160	20	3070	765	398	325	1488
channel_381_read_121	121	2561	2430	20	1751	514	296	165	975
channel_67_read_52	52	7522	7481	4857	5820	1100	602	561	2263
channel_67_read_53	53	9152	8916	485	6034	2089	1029	793	3911
channel_67_read_51	51	10971	11040	78	8509	1606	856	925	3387
channel_67_read_57	57	2404	2595	386	1784	483	137	328	948
channel_67_read_55	55	6190	7069	12	4954	971	265	1144	2380
channel_274_read_42	42	3549	3460	142	2650	584	315	226	1125
channel_274_read_43	43	2397	2428	124	1820	392	185	216	793
channel_274_read_47	47	4241	4261	131	3216	690	335	355	1380
channel_274_read_44	44	3691	3731	21	2998	435	258	298	991
channel_274_read_45	45	8847	8509	182	7055	1024	768	430	2222
channel_387_read_129	129	4431	4436	163	2993	1047	391	396	1834
channel_195_read_384	384	4815	5399	224	3638	926	251	835	2012
channel_167_read_143	143	5757	7426	7060	4727	937	93	1762	2792
channel_365_read_18	18	7191	7258	8	5962	793	436	503	1732
channel_480_read_176	176	4550	5276	3736	3229	1122	199	925	2246
channel_480_read_177	177	1600	1693	600	1084	396	120	213	729
channel_480_read_174	174	4118	4499	188	2959	912	247	628	1787
channel_406_read_57	57	3350	3806	177	2473	695	182	638	1515
channel_148_read_43	43	2300	2443	22	1712	460	128	271	859
channel_480_read_179	179	8375	9865	250	6175	1852	348	1838	4038
channel_93_read_23	23	6744	7707	474	4754	1692	298	1261	3251
channel_284_read_10	10	8641	9200	86	6776	1419	446	1005	2870
channel_356_read_95	95	7058	7075	40	5776	804	478	495	1777
channel_287_read_145	145	9544	9794	168	6941	1871	732	982	3585
channel_442_read_102	102	7324	7547	488	5508	1271	545	768	2584
channel_327_read_119	119	893	905	247	636	178	79	91	348
channel_47_read_109	109	10386	10896	7	7808	1808	770	1280	3858
channel_292_read_43	43	8408	8477	65	6966	950	492	561	2003
channel_318_read_16	16	3490	3497	47	2829	424	237	244	905
channel_12_read_173	173	1945	2288	106	1542	338	65	408	811
channel_358_read_4	4	3069	3110	86	2612	294	163	204	661
channel_373_read_128	128	6166	6023	65	4578	1036	552	409	1997
channel_358_read_7	7	19708	19046	38	16410	1856	1442	780	4078
channel_358_read_0	0	12099	12321	34	10179	1257	663	885	2805
